gender , word        , marginal.effect
female , hotter      , 0.388
female , hot         , 0.285
female , attractive  , 0.260
female , pregnant    , 0.252
female , gorgeous    , 0.251
female , beautiful   , 0.249
female , tits        , 0.247
female , lesbian     , 0.242
female , bang        , 0.229
female , horny       , 0.224
male   , homosexual  , -0.237
male   , homo        , -0.228
male   , philosopher , -0.204
male   , keen        , -0.182
male   , motivated   , -0.171
male   , ﬁeckers     , -0.164
male   , slides      , -0.16O
male   , nordic      , -0.156
male   , ﬁlling      , -0.152
male   , textbook    , -0.148

